United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Insurance,$11 ,$9 ,$7 ,$5 ,$4 ,$5 ,$10 ,$25 ,$14 ,$9 ,$9 ,$8 ,$6 ,$3 ,$5 ,$6 ,$5 ,$9 ,$2 ,$2 ,$2 
,Other (inc. Tax),$51 ,$84 ,$79 ,$76 ,$81 ,$87 ,$71 ,$69 ,$76 ,$86 ,$98 ,$103 ,$98 ,$124 ,$93 ,$107 ,$126 ,$96 ,$94 ,$94 ,$113 
,,,,,,,,,,,,,,,,,,,,,,
,Maintenance,$730 ,$762 ,$860 ,$857 ,$875 ,$890 ,$961 ,$936 ,$837 ,$799 ,$868 ,$936 ,"$1,050 ","$1,047 ","$1,088 ","$1,161 ","$1,369 ","$1,034 ","$1,018 ","$1,014 ",$972 
,Labor,$153 ,$150 ,$147 ,$151 ,$152 ,$156 ,$168 ,$185 ,$126 ,$96 ,$82 ,$80 ,$84 ,$91 ,$174 ,$288 ,$90 ,$97 ,$102 ,$101 ,$111 
,Materials,$146 ,$146 ,$162 ,$158 ,$184 ,$160 ,$177 ,$132 ,$141 ,$128 ,$127 ,$116 ,$146 ,$157 ,$141 ,$98 ,$190 ,$148 ,$138 ,$122 ,$105 
,Third Party,$56 ,$70 ,$117 ,$133 ,$146 ,$145 ,$184 ,$156 ,$182 ,$276 ,$365 ,$420 ,$479 ,$464 ,$442 ,$465 ,$692 ,$491 ,$531 ,$534 ,$507 
,Total Direct,$354 ,$365 ,$426 ,$434 ,$454 ,$457 ,$480 ,$473 ,$429 ,$477 ,$562 ,$615 ,$710 ,$710 ,$756 ,$851 ,$972 ,$734 ,$768 ,$755 ,$711 
,Burden,$376 ,$397 ,$434 ,$423 ,$421 ,$433 ,$482 ,$464 ,$409 ,$321 ,$306 ,$321 ,$340 ,$337 ,$332 ,$310 ,$396 ,$300 ,$250 ,$259 ,$261 
,,,,,,,,,,,,,,,,,,,,,,
,Aircraft Ownership,$760 ,$732 ,$684 ,$663 ,$645 ,$698 ,$750 ,$772 ,$678 ,$602 ,$533 ,$495 ,$512 ,$538 ,$587 ,$536 ,$305 ,$329 ,$314 ,$298 ,$259 
,Rentals,$499 ,$459 ,$439 ,$405 ,$384 ,$398 ,$396 ,$440 ,$343 ,$296 ,$222 ,$222 ,$222 ,$231 ,$232 ,$225 ,$230 ,$289 ,$273 ,$259 ,$219 
,Depreciation and Amortization,$261 ,$273 ,$245 ,$258 ,$261 ,$300 ,$355 ,$333 ,$335 ,$306 ,$312 ,$272 ,$290 ,$307 ,$356 ,$311 ,$75 ,$41 ,$41 ,$39 ,$41 
,,,,,,,,,,,,,,,,,,,,,,
